command	api	sender
copy	Commands.Keyspace.copy	request/typed-decoder
del	Commands.Keyspace.del	request/typed-decoder
dump	Commands.Keyspace.dump	request/typed-decoder
exists	Commands.Keyspace.exists	request/typed-decoder
expire	Commands.Keyspace.expire	request/typed-decoder
expireat	Commands.Keyspace.expire_at	request/typed-decoder
expiretime	Commands.Keyspace.expire_time	request/typed-decoder
keys	Commands.Keyspace.keys	request/typed-decoder
migrate	Commands.Keyspace.migrate	request/typed-decoder
move	Commands.Keyspace.move	request/typed-decoder
object|encoding	Commands.Keyspace.object_encoding	request/typed-decoder
object|freq	Commands.Keyspace.object_freq	request/typed-decoder
object|idletime	Commands.Keyspace.object_idle_time	request/typed-decoder
object|refcount	Commands.Keyspace.object_ref_count	request/typed-decoder
persist	Commands.Keyspace.persist	request/typed-decoder
pexpire	Commands.Keyspace.pexpire	request/typed-decoder
pexpireat	Commands.Keyspace.pexpire_at	request/typed-decoder
pexpiretime	Commands.Keyspace.pexpire_time	request/typed-decoder
pttl	Commands.Keyspace.pttl	request/typed-decoder
randomkey	Commands.Keyspace.random_key	request/typed-decoder
rename	Commands.Keyspace.rename	request/typed-decoder
renamenx	Commands.Keyspace.rename_nx	request/typed-decoder
restore	Commands.Keyspace.restore	request/typed-decoder
scan	Commands.Keyspace.scan	request/typed-decoder
sort	Commands.Keyspace.sort	request/typed-decoder
sort_ro	Commands.Keyspace.sort_ro	request/typed-decoder
touch	Commands.Keyspace.touch	request/typed-decoder
ttl	Commands.Keyspace.ttl	request/typed-decoder
type	Commands.Keyspace.key_type	request/typed-decoder
unlink	Commands.Keyspace.unlink	request/typed-decoder
wait	Commands.Keyspace.wait	request/typed-decoder
waitaof	Commands.Keyspace.wait_aof	request/typed-decoder
append	Commands.Strings.append	request/typed-decoder
decr	Commands.Strings.decr	request/typed-decoder
decrby	Commands.Strings.decr_by	request/typed-decoder
delex	Commands.Strings.delex	request/typed-decoder
digest	Commands.Strings.digest	request/typed-decoder
get	Commands.Strings.get	request/typed-decoder
getdel	Commands.Strings.get_del	request/typed-decoder
getex	Commands.Strings.get_ex	request/typed-decoder
getrange	Commands.Strings.get_range	request/typed-decoder
getset	Commands.Strings.get_set	request/typed-decoder
incr	Commands.Strings.incr	request/typed-decoder
incrby	Commands.Strings.incr_by	request/typed-decoder
incrbyfloat	Commands.Strings.incr_by_float	request/typed-decoder
increx	Commands.Strings.incr_ex	request/typed-decoder
lcs	Commands.Strings.lcs	request/typed-decoder
mget	Commands.Strings.mget	request/typed-decoder
mset	Commands.Strings.mset	request/typed-decoder
msetex	Commands.Strings.mset_ex	request/typed-decoder
msetnx	Commands.Strings.mset_nx	request/typed-decoder
psetex	Commands.Strings.pset_ex	request/typed-decoder
set	Commands.Strings.set	request/typed-decoder
setex	Commands.Strings.set_ex	request/typed-decoder
setnx	Commands.Strings.set_nx	request/typed-decoder
setrange	Commands.Strings.set_range	request/typed-decoder
strlen	Commands.Strings.str_len	request/typed-decoder
substr	Commands.Strings.substr	request/typed-decoder
hdel	Commands.Hashes.hdel	request/typed-decoder
hexists	Commands.Hashes.hexists	request/typed-decoder
hexpire	Commands.Hashes.hexpire	request/typed-decoder
hexpireat	Commands.Hashes.hexpire_at	request/typed-decoder
hexpiretime	Commands.Hashes.hexpire_time	request/typed-decoder
hget	Commands.Hashes.hget	request/typed-decoder
